name,price,image,product_url,product_details
CHACHA SUNFLOWER SEEDS 260G,CA$3.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/_/_/__20200605143553/www.multifoodwindsor.com-%E6%B4%BD%E6%B4%BD%E7%84%A6%E7%B3%96%E7%93%9C%E5%AD%90-20.jpg,http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/chacha-1.html,
BEIDAHUANG GROUP FROZEN CHESTNUT 400G,CA$6.59,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/20160418_143447__/www.multifoodwindsor.com-%E5%8C%97%E5%A4%A7%E8%8D%92%E9%9B%86%E5%9B%A2-%E6%9D%BF%E6%A0%97%E8%82%89-20.jpg,http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/beidahuang-group-frozen-chestnut-%E5%8C%97%E5%A4%A7%E8%8D%92%E9%9B%86%E5%9B%A2-%E6%9D%BF%E6%A0%97%E8%82%89.html,
SMILING PINE NUT 开口松子,CA$4.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/20160415_152034__/www.multifoodwindsor.com-6946687010106-20.jpg,http://www.multifoodwindsor.com/ecommerce/smiling-pine-nut-%E5%BC%80%E5%8F%A3%E6%9D%BE%E5%AD%90.html,
香菇肥牛 48G,CA$1.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_15.33.53__/www.multifoodwindsor.com-%E9%A6%99%E8%8F%87%E8%82%A5%E7%89%9B-20.jpg,http://www.multifoodwindsor.com/ecommerce/grocery%E6%9D%82%E8%B4%A7/%E9%A6%99%E8%8F%87%E8%82%A5%E7%89%9B.html,
WANT WANT SENBEI 旺旺仙贝,CA$1.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_16.16.36-1__/www.multifoodwindsor.com-4710144101216-20.jpg,http://www.multifoodwindsor.com/ecommerce/want-want-senbei-%E6%97%BA%E6%97%BA%E4%BB%99%E8%B4%9D.html,
DRIED BEAN CURD 手撕素牛肉,CA$3.29,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_16.32.24__/www.multifoodwindsor.com-6954427509926-20.jpg,http://www.multifoodwindsor.com/ecommerce/dried-bean-curd-%E6%89%8B%E6%92%95%E7%B4%A0%E7%89%9B%E8%82%89.html,
蛋白素肉,CA$2.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_15.25.00-2___1/www.multifoodwindsor.com-6927849461318-20.jpg,http://www.multifoodwindsor.com/ecommerce/%E8%9B%8B%E7%99%BD%E7%B4%A0%E8%82%89.html,
GINGER CANDY 姜糖,CA$3.29,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_15.19.54__/www.multifoodwindsor.com-03927804012-20.jpg,http://www.multifoodwindsor.com/ecommerce/ginger-candy-%E5%A7%9C%E7%B3%96.html,
MINI WALNUT CAKES 迷你合桃酥,CA$3.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/2016-04-15_16.52.44__/www.multifoodwindsor.com-6935133800286-20.jpg,http://www.multifoodwindsor.com/ecommerce/mini-walnut-cakes-%E8%BF%B7%E4%BD%A0%E5%90%88%E6%A1%83%E9%85%A5.html,
Q 豆腐,CA$2.99,http://www.multifoodwindsor.com/ecommerce/media/catalog/product/cache/1/small_image/210x/9df78eab33525d08d6e5fb8d27136e95/2/0/20160415_152411__/www.multifoodwindsor.com-6927849464159-20.jpg,http://www.multifoodwindsor.com/ecommerce/q-%E8%B1%86%E8%85%90.html,
