Name,Store,Category,Price,Image URL,Product URL,Description
"Bread, French",Zehrs,Bakery,2.99,https://assets.shop.loblaws.ca/products/20788443/b3/en/front/20788443_front_a06_@2.png,https://www.zehrs.ca/bread-french/p/20788443_EA,Authentic French crusty-style bread with a chewy golden crust and light interior. Fresh in-store baked bread. Please specify your option for sliced or unsliced in the instruction box. Product Number: 20788443_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
"Sourdough Loaf, Sliced",Zehrs,Bakery,3.29,https://assets.shop.loblaws.ca/products/20706542/b3/en/front/20706542_front_a06_@2.png,https://www.zehrs.ca/sourdough-loaf-sliced/p/20706542_EA,"This unsliced traditional San Francisco Sourdough bread has a pleasantly light sourdough flavour with a crispy crust and a soft, chewy texture. Made with clean label ingredients. Fresh in-store baked bread Product Number: 20706542_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Sourdough Bread Boule,Zehrs,Bakery,4.79,https://assets.shop.loblaws.ca/products/20132458/b3/en/front/20132458_front_a06_@2.png,https://www.zehrs.ca/sourdough-bread-boule/p/20132458_EA,"This San Francisco Sourdough bread has a pleasantly light sourdough flavour with a crispy crust and a soft, chewy texture. Made with clean lablel ingredients. Fresh in-store baked bread Product Number: 20132458_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Italian Bread,Zehrs,Bakery,2.99,https://assets.shop.loblaws.ca/products/20345208/b3/en/front/20345208_front_a06_@2.png,https://www.zehrs.ca/italian-bread/p/20345208_EA,Authentic Italian crusty-style bread with a chewy golden crust and light interior. Fresh in-store baked bread Product Number: 20345208_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Ciabatta Demi,Zehrs,Bakery,3.79,https://assets.shop.loblaws.ca/products/20833789/b3/en/front/20833789_front_a06_@2.png,https://www.zehrs.ca/ciabatta-demi/p/20833789_EA,"The moist, airy dough of a Ciabatta make it an ideal sandwich base. This convenient double-pack is perfect for busy households and school lunches. Product Number: 20833789_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
"Bread Farmer's, Sliced",Zehrs,Bakery,2.99,https://assets.shop.loblaws.ca/products/20343583/b3/en/front/20343583_front_a06_@2.png,https://www.zehrs.ca/bread-farmer-s-sliced/p/20343583_EA,Fresh in-store baked bread Product Number: 20343583_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Rustic Italian Oval,Zehrs,Bakery,4.79,https://assets.shop.loblaws.ca/products/20067454/b3/en/front/20067454_front_a06_@2.png,https://www.zehrs.ca/rustic-italian-oval/p/20067454_EA,"Our ACE Bakery® bread is made using our aged starters, simple ingredients and traditional techniques, but it's anything but ordinary.Baked in a stone-deck oven for a crisp golden crust and a light and airy interior, our ACE Bakery® Rustic Italian Oval is delicate in taste, making it the perfect complement to a Sunday brunch or a Saturday night get-together.Everyday Inspiration:Effortlessly elevate your lunch by creating a sweet potato sandwich with shredded cheddar and fresh rosemary.Hosting Inspiration:Serve sliced, toasted and topped with a selection of different spreads.Visit us at ACEBakery.com to learn our bread.For A Crispy Crust: Place the bread in a preheated 350°F (177°C) oven for 3 to 5 minutes! Let the bread cool for a minimum of 15 minutes and enjoy!To Save For Later: Freeze the bread by wrapping it airtight. To refresh, remove from bag and while still frozen, place in a preheated 400°F (200°C) oven for 6 to 9 minutes. Let the bread cool for a minimum of 15 minutes and enjoy! Product Number: 20067454_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
White Oval,Zehrs,Bakery,3.79,https://assets.shop.loblaws.ca/products/20833761/b3/en/front/20833761_front_a06_@2.png,https://www.zehrs.ca/white-oval/p/20833761_EA,"La Baguetterie™ artisan style breads follow traditional slow rising processes and baking techniques, giving their breads a golden crust, a delightful texture and a rich flavour that complement any meal. This White Oval is best when crisped up in the oven, giving it a thicker crust and true artisan look. Slice and spread with butter and your favourite jam in the morning. Product Number: 20833761_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Pane Rustico,Zehrs,Bakery,5.99,https://assets.shop.loblaws.ca/products/20924660/b3/en/front/20924660_front_a06_@2.png,https://www.zehrs.ca/pane-rustico/p/20924660_EA,"Our ACE Bakery® bread is made using our aged starters, simple ingredients and traditional techniques, but it’s anything but ordinary.Our ACE Bakery® Pane Rustico is baked in a stone-deck oven longer than any ACE Bakery® bread, giving it a complex flavour and tasty crunch.Recipe Inspiration:Create a restaurant-style open faced sandwich by topping with smashed avocado, chopped cherry tomatoes and seasoned with black pepper.Visit us at ACEBakery.com to learn more our recipes.Freshness Tip:Savour the flavour and freeze what you don't use. To refresh from frozen, toast for 1 to 2 minutes or until heated throughout and enjoy! Product Number: 20924660_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Thick Slices Bread,Zehrs,Bakery,3.99,https://assets.shop.loblaws.ca/products/20038335/b3/en/front/20038335_front_a06_@2.png,https://www.zehrs.ca/thick-slices-bread/p/20038335_EA,"We Bake Big Bread. Unapologetically Big Bread. Because We Believe You Should Live To Eat, Not Eat To Live. So Go On - Grab A Soft Slice Of D'Italiano Thick Sliced Bread, Take A Huge Delicious Bite And Live Large! Product Number: 20038335_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
White Baguette,Zehrs,Bakery,1.5,https://assets.shop.loblaws.ca/products/21529211/b3/en/front/21529211_front_a06_@2.png,https://www.zehrs.ca/white-baguette/p/21529211_EA,"Baked fresh daily in-store, this white baguette has a delightfully crispy crust and an irresistible flavour. Allergen Alert : We cannot guarantee that any items have not come into contact with Peanuts, Tree nuts, Milk, Fish, Crustacean, Shellfish, Egg, Soy, Sesame, Wheat Mustard, Sulphites. Product Number: 21529211_EA DISCLAIMER"
14 Grains Bread,Zehrs,Bakery,4.49,https://assets.shop.loblaws.ca/products/21178642/b3/en/front/21178642_front_a06_@2.png,https://www.zehrs.ca/14-grains-bread/p/21178642_EA,"With No Artificial Colours And Flavours, Country Harvest Ancient 14 Grain Bread Is Packed With Nutrients Like Omega-3, Protein, Fibre, And Other Essential Vitamins. Product Number: 21178642_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Original Bread,Zehrs,Bakery,2.29,https://assets.shop.loblaws.ca/products/21509822/b3/en/front/21509822_front_a06_@2.png,https://www.zehrs.ca/original-bread/p/21509822_EA,"Perfect for busy mornings, Original Bread is sliced and ready to eat. Always have this kitchen staple in your fridge for when you want avocado toast or your favourite stacked sandwiches. Product Number: 21509822_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
White Baguette,Zehrs,Bakery,4,https://assets.shop.loblaws.ca/products/20171171/b3/en/front/20171171_front_a06_@2.png,https://www.zehrs.ca/white-baguette/p/20171171_EA,"Our ACE Bakery® bread is made using our aged starters, simple ingredients and traditional techniques, but it's anything but ordinary.An iconic staple, our ACE Bakery® White Baguette is baked in a stone-deck oven giving it a golden crisp crust with a creamy, fully developed flavour. Turn it into a sandwich, slice it, layer it, dip it - whatever you decide, we know you'll love it.Everyday Inspiration:Go simple and spread with butter or dip it in olive oil.Hosting Inspiration:Recreate a fan favourite and use as the base for a tomato and basil bruschetta. Visit us at ACEBakery.com to learn more our recipes.For A Crispy Crust: Place the baguette in a preheated 350°F (177°C) oven for 3 to 5 minutes! Let the baguette cool for a minimum of 15 minutes and enjoy!To Save For Later: Freeze the baguette by wrapping it airtight. To refresh, remove from bag and while still frozen, place in a preheated 400°F (200°C) oven for 5 to 8 minutes. Let baguette cool for a minimum of 15 minutes and enjoy! Product Number: 20171171_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
100% Whole Wheat Bread,Zehrs,Bakery,2.29,https://assets.shop.loblaws.ca/products/21509877/b3/en/front/21509877_front_a06_@2.png,https://www.zehrs.ca/100-whole-wheat-bread/p/21509877_EA,"100% Whole Wheat Bread will be a daily favourite in your house. Sliced and ready to eat, this vegetarian loaf of bread is perfect for your favourite sandwiches or toasted with your favourite spread in the morning. Product Number: 21509877_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Ancient Grains & Red Fife Bread,Zehrs,Bakery,4.49,https://assets.shop.loblaws.ca/products/21178640/b3/en/front/21178640_front_a06_@2.png,https://www.zehrs.ca/ancient-grains-red-fife-bread/p/21178640_EA,"With No Artificial Colours And Flavours, Country Harvest Ancient Grain & Red Fife Bread Is Packed With Nutrients Like Omega-3, Protein, Fibre, And Other Essential Vitamins. Product Number: 21178640_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
